Fecha,IPC_NG_base _2014,M0_Base_mill_ars,M2_ars,M2_mon_ext,M3_ars,M3_mon_ext,Pases_Pasivos,TCN,M0_Base_mill_ars_lag18,M0_Base_mill_ars_lag24,M2_ars_lag18,M2_ars_lag24,M2_mon_ext_lag18,M2_mon_ext_lag24,M3_ars_lag18,M3_ars_lag24,M3_mon_ext_lag18,M3_mon_ext_lag24,Pases_Pasivos_lag18,Pases_Pasivos_lag24,TCN_lag18,TCN_lag24,Inflacion mensual
2006-01-01,-0.19998871485361577,-0.31150713060723995,-0.3396085591169693,-0.04162323699479826,-0.30492415372121423,-0.05537297198644718,-0.13172915008738784,-0.10719147721438015,-0.3078683508294511,-0.3245362529839644,-0.3015735754959485,-0.31653889961028525,-0.05949262431783625,-0.07809606968785852,-0.29971774484668645,-0.3319665990859782,-0.08905494376913274,-0.11180536813176553,-0.3077183020680713,-0.49789282183859207,-0.1609046367112811,-0.15103749564095867,1.6950596252129468
2006-02-01,-0.19940842534668443,-0.31349683322382604,-0.3399463632978808,-0.04102969460427191,-0.30487632326697656,-0.054842057083365855,-0.12608921104715912,-0.10690601514738982,-0.3074853835914334,-0.32466714270372476,-0.30134046850343826,-0.31534140219367685,-0.058964986167285446,-0.07778296646118596,-0.2994239479743791,-0.33144745508312334,-0.08851281609165329,-0.11153145554492422,-0.30198663879427545,-0.49789282183859207,-0.15741515296367117,-0.1482967757989531,0.8208392662702124
2006-03-01,-0.19837219408430698,-0.3120572754657721,-0.34054661632499117,-0.040347735500916804,-0.30461289009153714,-0.054219620602940735,-0.1386558566997554,-0.1066205530803995,-0.3073440424901455,-0.32630474267759957,-0.30184605637371054,-0.3149668771008091,-0.05956751125992883,-0.07695973192315902,-0.29903242693793264,-0.33162917270024894,-0.08876501300382884,-0.111029710505714,-0.30078237069162284,-0.49789282183859207,-0.1584667782026769,-0.15070103898516257,1.453850627232689
2006-04-01,-0.1975728156819015,-0.3109190683671774,-0.33954090937401193,-0.04030209277299257,-0.303765617752632,-0.05402320449631172,-0.1310589266211865,-0.10680897688699377,-0.3091711569276741,-0.3244439427371286,-0.3012873974818376,-0.3130440623544713,-0.05953767650671594,-0.07648476844410487,-0.29850493249269605,-0.33030742257588086,-0.08836590788857082,-0.10999435518352713,-0.2587827583030869,-0.49789282183859207,-0.1600681166347993,-0.15502590891487467,1.1054700294792053
2006-05-01,-0.19727082828543718,-0.31118561703023256,-0.3377360481117786,-0.03982720072935701,-0.3024469516101006,-0.05336326401782827,-0.11483262555254306,-0.10705015935943443,-0.30607525430681476,-0.3236822756456029,-0.2996380798489079,-0.3111092839653251,-0.05959925685856572,-0.07259770130275917,-0.29715246730500827,-0.32899280987494456,-0.08837692192329617,-0.1056376271815173,-0.2754410829229349,-0.4925092344975744,-0.16094048757170176,-0.14915193646576813,0.4130558030290832
2006-06-01,-0.1968504144589869,-0.30853219237017365,-0.336690222612171,-0.039707540109500714,-0.30107177996484197,-0.053021955080210494,-0.1242661228182876,-0.10652634117710236,-0.30184823711694425,-0.3224134175512751,-0.29608702025002476,-0.30893151522585405,-0.05917263353651718,-0.06955943839065865,-0.29536633807195034,-0.3269887339049844,-0.08785114624837738,-0.10310717559330702,-0.2768966437887415,-0.4736520369260455,-0.1599665391969408,-0.14630607391882627,0.5726730117760814
2006-07-01,-0.19656026970552123,-0.3076418219212139,-0.3360940114472272,-0.03951968552421943,-0.30007571817352857,-0.05270001568982715,-0.12124766381349732,-0.10651315151064077,-0.3053110485189382,-0.32444693608414515,-0.29698676426552256,-0.3074687154945101,-0.05977826321135169,-0.06822720576078703,-0.2947961657823229,-0.32619532502078363,-0.0882366591154283,-0.10195737581549738,-0.21953642493982922,-0.40534253870769876,-0.16145434990439775,-0.14666355911560963,0.39297457695084415
2006-08-01,-0.19605695737808074,-0.3069140433668206,-0.33670701960596044,-0.04002259400392212,-0.2993697348204404,-0.05260691057577562,-0.11945206556537763,-0.10656967865261903,-0.3049759387063519,-0.32399918310091186,-0.29764324782832874,-0.30719501382059045,-0.056615356904959564,-0.0676097785896835,-0.2947883766330642,-0.32582544355869447,-0.08580010580660022,-0.10131580962656572,-0.24565293563667695,-0.39713409641920666,-0.16328871892925437,-0.14257000313675736,0.6790222080204522
2006-09-01,-0.19550627447864585,-0.30391085939160073,-0.33582864145083197,-0.039875403175629154,-0.2984909319672123,-0.05227183389731258,-0.13475322532480483,-0.10617210442070515,-0.3043772178457644,-0.32383393162905566,-0.2971967684765293,-0.30778864786355437,-0.06355064688132325,-0.06831483633253503,-0.2941255858321176,-0.3253325303011021,-0.09100742250714806,-0.10161426517223549,-0.287274084263432,-0.39540943731969375,-0.16261352772466545,-0.14380367754134296,0.7379195429659591
2006-10-01,-0.19471873871923898,-0.30512048943288267,-0.33520786484720716,-0.039862181025598166,-0.29764973695002583,-0.05202991522116047,-0.12192427204942166,-0.10620225222976024,-0.30477453375134783,-0.32597013509216843,-0.29594020342811506,-0.30713270068578347,-0.05985603592000296,-0.06827992455207037,-0.29294938458657077,-0.3246684305946767,-0.08816679419350798,-0.10114195512717432,-0.25878078526925774,-0.33526085950520845,-0.16417901529636716,-0.14568222720287108,1.0475740390674115
2006-11-01,-0.19386606842333984,-0.3010645054640823,-0.3322937775185492,-0.04017170489110247,-0.29588832281156163,-0.0521497810166967,-0.1309338324292061,-0.10663185850879517,-0.30222100898576326,-0.32235050527353204,-0.29425226237443786,-0.3051961607643639,-0.062332682240738964,-0.06835198413001878,-0.2915019532840054,-0.3229657174339889,-0.08951991491059422,-0.10115498938566553,-0.2716650549072894,-0.3591176162149294,-0.16474665391969415,-0.14670561619758413,1.1224569335100076
2006-12-01,-0.19277654526746868,-0.29552624599880334,-0.32921315269524776,-0.04021614393551486,-0.29415054136410174,-0.05208178149271826,-0.14911215860418292,-0.10692203117095032,-0.30301950171910086,-0.3174084126633656,-0.29257611878173595,-0.30102669786693403,-0.06262128056152104,-0.06785276164092421,-0.2904924707882235,-0.3207170342297903,-0.0895364301333882,-0.10053277452742596,-0.252539361800684,-0.3612021572623746,-0.16518283938814537,-0.14556306547060996,1.418330378478383
2007-01-01,-0.19208375065205058,-0.29847133391281416,-0.32945938391164725,-0.039967430938993465,-0.2932478145396134,-0.051503824816211775,-0.12430525909196011,-0.10645662436866249,-0.2997192625993952,-0.3214570204336876,-0.29085266810575283,-0.3020831288237624,-0.06268910907459849,-0.06856145227764009,-0.2892977549164086,-0.31999920439561336,-0.08945350093075026,-0.10098899919768799,-0.27500002017875513,-0.27905531373980336,-0.1660193594646272,-0.14730843437255212,0.889260469711961
2007-02-01,-0.1915330677526157,-0.29926053512609363,-0.3291868116554669,-0.040231384470465176,-0.2926990720667541,-0.05157555140694044,-0.11869635712677382,-0.10612499846905657,-0.29845619742998164,-0.3210652208137699,-0.2912575023077065,-0.3028539364606586,-0.062184931859531126,-0.06486030919088139,-0.2889295498700835,-0.3199893980900063,-0.0884598761086229,-0.0981055267512311,-0.2464722827759259,-0.3164573488195595,-0.16491993307839395,-0.14946035506691455,0.7006177489829568
2007-03-01,-0.19041985931074734,-0.2965266897110567,-0.32894900377308867,-0.04033544582743046,-0.29173425524337093,-0.051499576644552826,-0.13035045365488532,-0.10615514627811165,-0.30166434360623373,-0.32036521563097736,-0.2906794075112015,-0.3023297044561094,-0.062489893689936106,-0.07297578845715309,-0.28814055775261793,-0.3191549643242959,-0.08847189777846223,-0.10426798343609073,-0.24272764393483573,-0.37606392027420377,-0.16350382409177824,-0.14866828002306126,1.4064487169896278
2007-04-01,-0.18946060522786073,-0.2973648796264464,-0.3267278372971366,-0.04009418724073695,-0.2906889788432177,-0.05113976303829542,-0.10587715836068967,-0.10637937060795884,-0.29803240202391384,-0.3208297446150542,-0.28852810794688843,-0.30085431346317365,-0.06213443961071987,-0.06865245969141691,-0.28685669250680973,-0.3176741621871008,-0.08815206273469266,-0.1009063194645579,-0.2915336849339406,-0.3352580338796359,-0.1602593212237094,-0.15050477260261488,1.1951309479896643
2007-05-01,-0.18873228268344686,-0.29674684648302885,-0.325895287695315,-0.0397888449328546,-0.28960533745037337,-0.051086490561252564,-0.11320462750965234,-0.10655083627195962,-0.2980528272249046,-0.31784424554868795,-0.2870565576697518,-0.2988724240016254,-0.06195172639113067,-0.07155056084282103,-0.2862520816752351,-0.3158518895323178,-0.08792594275306222,-0.10250763320980272,-0.28276390829661624,-0.3537098826190183,-0.1601876195028681,-0.15117067640054463,0.8966975286141432
2007-06-01,-0.1877848712435589,-0.29268228003408087,-0.32290435328371814,-0.03993502440767621,-0.2879579208285457,-0.051115263329899796,-0.12601111585452862,-0.10656402593842122,-0.29936573197472505,-0.3187778175829243,-0.28196738629502816,-0.29690438648326517,-0.06144088288199345,-0.07188827039737031,-0.2835408159306434,-0.3145809813073228,-0.08702623618560935,-0.10252717769902076,-0.23826320647951488,-0.3263195526931968,-0.1573613766730402,-0.15168237089790115,1.156069364161838
2007-07-01,-0.18682561716067236,-0.28794086011060216,-0.32210133958714465,-0.039557702041886356,-0.28676161446889725,-0.05043383466273208,-0.14844696018822656,-0.10595541704312172,-0.29372026111635646,-0.3149192840987538,-0.2822604191698226,-0.2948808035359888,-0.06120086596459864,-0.0719676413960478,-0.2830684699101079,-0.3130768698102279,-0.08636559063257329,-0.10242903739979284,-0.2939180066331604,-0.3584859604619204,-0.1554792065009561,-0.1526637028106397,1.1571428571428566
2007-08-01,-0.18602031743676758,-0.28970588064750186,-0.32374399616609645,-0.038930289034622145,-0.28619385105129097,-0.048970572856780276,-0.1397579388958324,-0.10518664791221712,-0.2965269191898162,-0.31344254890712125,-0.2827018472927524,-0.2953561380488725,-0.06001077106951799,-0.07137766754501193,-0.28300087197437257,-0.3126133106858106,-0.08522869009031157,-0.10125315924997395,-0.2768062429660223,-0.3176307540573574,-0.15457397227533468,-0.15137395229675474,0.9603163395000669
2007-09-01,-0.18535120810734665,-0.2906780455211272,-0.3235836157444074,-0.03871948882720651,-0.28589029402059113,-0.048503442750064824,-0.1278910167102873,-0.10527897557744831,-0.29449629090889945,-0.31719341028236797,-0.2834862323951666,-0.2946773702788293,-0.058643394348814076,-0.07173452521355797,-0.2826285665227989,-0.3116199932427316,-0.08389580535113446,-0.10126738596671211,-0.31493386614812946,-0.3122679735955564,-0.15366873804971326,-0.1497126975587616,0.7903203245209323
2007-10-01,-0.18455182970494122,-0.2915221998267609,-0.323199500460304,-0.03838578540189234,-0.28592458223647127,-0.04802877762192281,-0.13247687756383789,-0.1050359088669417,-0.2928907453786729,-0.31294706094232916,-0.2821720173656479,-0.29215143021364937,-0.058551877418655106,-0.07131858295017426,-0.2814311314988473,-0.3100036453540849,-0.0834752001339152,-0.1008888859220878,-0.2918845262221129,-0.38216418901046134,-0.1542662523900574,-0.14590653164006845,0.9367844008049353
2007-11-01,-0.1845755149909384,-0.28788140062509043,-0.32212978164506945,-0.038193871356149635,-0.2846073274843929,-0.04762629019025134,-0.129338290299074,-0.10549754719309767,-0.29326673672074455,-0.31297094143070747,-0.2798135015030363,-0.2904236151456754,-0.05759968494535272,-0.07110477713234926,-0.2795674839424942,-0.3092424584271397,-0.08206200437788394,-0.10062129040744737,-0.24265338611617351,-0.3696047970902221,-0.15503107074569794,-0.14582241747611943,-0.027498968788686184
2007-12-01,-0.18389456301851895,-0.28038486823177355,-0.31255851314939137,-0.03806311826328376,-0.2823915892533661,-0.04722304598980943,-0.13810345588223882,-0.10542594614659184,-0.2895238378159577,-0.3145059474575316,-0.2784468612620596,-0.28444818425393636,-0.05735975685410572,-0.07050700257341348,-0.27762397815767687,-0.30582905606568545,-0.08133112582464623,-0.09955655725026709,-0.2712749323092451,-0.3058743535498494,-0.15336998087954115,-0.14250691751379557,0.7908128180442953
2008-01-01,-0.18322545368909807,-0.2841771580593824,-0.31569809370763896,-0.03787338791985475,-0.2799867505040337,-0.046884547907624724,-0.08962508174020149,-0.10533738695749253,-0.2882678886162574,-0.30790544441796186,-0.27766775789305825,-0.28479224767082945,-0.05698309499047288,-0.07022614159668279,-0.2762162616299783,-0.30523438657408897,-0.08064172519682818,-0.09877473431942795,-0.26211682674099385,-0.3855788290774595,-0.15332815487571708,-0.1402989207101338,0.7709626799481395
2008-02-01,-0.1824379179296912,-0.2817764972910046,-0.3176793969022804,-0.03786143104216881,-0.27973257665775486,-0.04665365176694508,-0.1105136835443571,-0.1052299853877338,-0.28724129019981487,-0.311186898810281,-0.27846881085847763,-0.2853105487945325,-0.057991462419556064,-0.06883352636662911,-0.27521850783288515,-0.30514928279777015,-0.08044235001628948,-0.0974293004329228,-0.25666892160517785,-0.3610726922361377,-0.1535074091778203,-0.13923697939027746,0.9004739336492928
2008-03-01,-0.18090429566137256,-0.2810484350182593,-0.31703506051015506,-0.03663530218239015,-0.2791528481008937,-0.045816123402176785,-0.10975040797126674,-0.10512258381797507,-0.28300502369452274,-0.3088127535039496,-0.27732098367885355,-0.28623153152961295,-0.05769633429366297,-0.06723346098163802,-0.2739765112902344,-0.30468056138596505,-0.07972481721539629,-0.09585193440288563,-0.3030931520390273,-0.41567610830186125,-0.15224665391969414,-0.13817503807042106,1.737905119774541
2008-04-01,-0.1795838409670287,-0.28131415301702833,-0.31463956427130174,-0.03722731781815685,-0.27797064102442287,-0.04538952747967551,-0.11494554138745922,-0.10492097034491919,-0.28471131783765874,-0.30693560128435776,-0.27650977924036085,-0.2846884510342739,-0.05766982293827366,-0.06712637047039058,-0.27278766523767206,-0.30317302655777734,-0.07920677284989758,-0.09535418064954335,-0.2641696787569098,-0.3826666366122855,-0.15234225621414918,-0.13887598943666288,1.470782218704647
2008-05-01,-0.17873117067112956,-0.2819788184240215,-0.31573108805602257,-0.03732249309504901,-0.2786671723905434,-0.04577650154043716,-0.12084950247938196,-0.10521114300707438,-0.2789899803589008,-0.3073751982743088,-0.272701773975086,-0.2819192087536735,-0.05829044040068547,-0.0660121418943798,-0.27029828976271436,-0.30082675010646914,-0.07946345332195226,-0.09368177274071501,-0.2915049862600615,-0.3121616273240047,-0.1537045889101339,-0.1397732071854524,0.9359766005849757
2008-06-01,-0.17757059165726677,-0.2780646983598552,-0.312326737140575,-0.037247641052604245,-0.27742511438879913,-0.04595076835513949,-0.12780535438317026,-0.10724046740409464,-0.2711777573103076,-0.30299912119984734,-0.2686761446014904,-0.28031457339900945,-0.058379543859413234,-0.06573138485948334,-0.26784231395232655,-0.29837993453753103,-0.07931783922214843,-0.0928168344845597,-0.3466586358210929,-0.35315117938079366,-0.15462476099426392,-0.13782456238730012,1.262154678343741
2008-07-01,-0.17684226911285292,-0.2816217013462655,-0.3128073299613404,-0.03716137886843135,-0.27591100894207665,-0.04582429852709572,-0.07338742996982826,-0.10763804163600856,-0.2753320739916063,-0.3015307057712426,-0.2689979090727549,-0.27939979219079336,-0.057880856533579876,-0.0652906258493878,-0.26656650608386745,-0.2966076615947222,-0.07808020348220132,-0.09200098214606131,-0.27139367307241996,-0.3400356529728502,-0.15314890057361383,-0.1377754957916632,0.7821939586645454
2008-08-01,-0.1759777561739551,-0.2805331969743003,-0.31194030845555265,-0.03684141515544814,-0.27497707585323544,-0.04518146662275763,-0.07700694410215395,-0.10743077544875484,-0.2764453147032436,-0.30033043990535796,-0.2686417232520711,-0.280340345432773,-0.05841010222075721,-0.06647058876245966,-0.26579097804411034,-0.2953515194500646,-0.07823379871831304,-0.09176503703560229,-0.25437607692894776,-0.3322335870167128,-0.1520972753346081,-0.13798578120153573,0.9212518929833546
2008-09-01,-0.17509547927055946,-0.27876114258659085,-0.3099671128086105,-0.0366558026197962,-0.27420698389467535,-0.04413234322091431,-0.08536567179785878,-0.106505614558377,-0.2725889749458635,-0.2953775332929433,-0.26833096603511514,-0.27899262858802903,-0.05861875267551196,-0.06612523821551185,-0.2644274194774403,-0.29378788300459313,-0.07807110645246144,-0.09091589244545184,-0.2897349955485667,-0.39871875861534833,-0.15219287762906314,-0.1365067738187655,0.9315993497561736
2008-10-01,-0.17438492069064349,-0.27716825476194984,-0.3129860340997743,-0.0350204764717864,-0.2756882331578784,-0.041661100412316396,-0.1274648333312765,-0.10356431893744046,-0.273771318715988,-0.29737247755192825,-0.2654284402417743,-0.2780401560331923,-0.05813501197391909,-0.06609421538074704,-0.26295014881276724,-0.29229116143411754,-0.07730060202379872,-0.09030282699412535,-0.21548219915426803,-0.3429755879436464,-0.1529039196940727,-0.13661892603736417,0.7433562534844729
2008-11-01,-0.1736033062527359,-0.2786112573336608,-0.3116927527613702,-0.03370519075267484,-0.2750121725438418,-0.04113281903344547,-0.09074188437758433,-0.10185531501163046,-0.27289952626963,-0.2906832736987251,-0.2643404998646411,-0.2735690013750799,-0.05752277883326562,-0.06682044430061261,-0.2614186575818931,-0.28915711227581686,-0.07718652440479401,-0.09060658848624276,-0.23771398560815316,-0.38212308900213215,-0.15344765774378588,-0.13821709515239555,0.8116583656151866
2008-12-01,-0.17312367921129265,-0.27236953082432797,-0.30114881474790767,-0.03241624236354655,-0.2744500182780153,-0.039518740133684276,-0.09046024509091387,-0.10009543665804,-0.267166082415278,-0.2815494736541108,-0.26043207410284425,-0.2688423242116524,-0.057815879123198556,-0.06692471063616927,-0.2590903927826839,-0.28606511229478426,-0.07724813837736767,-0.09043426545802141,-0.2765692995398078,-0.46110985563429413,-0.15348948374760998,-0.139296560256408,0.4940530649588215
2009-01-01,-0.1723183794873879,-0.2764530370494844,-0.30439704100724807,-0.03219780189929762,-0.2743553972056506,-0.03875179892876212,-0.06262826533122508,-0.09931536209873972,-0.2604778746414312,-0.286406567166798,-0.25938272998931416,-0.2692201227214466,-0.05705932082425711,-0.06634116089752157,-0.2573996741451911,-0.2844589084028761,-0.07578892783963491,-0.08896961925391099,-0.34464040158054365,-0.35332123066525556,-0.15155951242829832,-0.13756521038179065,0.8254430687059999
